scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Calcarius ornatus,99,85,272,187
Calidris alba,75,77,244,103
Calidris alpina,114,56,246,136
Calidris bairdii,98,59,242,158
Calidris canutus,106,105,233,207
Calidris fuscicollis,118,67,259,132
Calidris himantopus,91,80,238,156
Calidris mauri,125,96,233,134
Calidris melanotos,102,71,236,170
Calidris minutilla,85,91,268,182
Calidris pusilla,84,58,278,132
Callicarpa americana,103,44,305,155
Callicladium haldanianum,86,89,204,147
Callipepla californica,93,63,223,169
Callitriche hermaphroditica,101,58,213,198
Callitriche heterophylla,200,139,509,273
Callitriche heterophylla var. bolanderi,81,124,244,144
Callitriche marginata,84,85,237,165
Callitriche palustris,69,85,248,161
Callitriche terrestris,101,99,247,120
Callospermophilus lateralis,97,84,250,121
Calocedrus decurrens,135,60,232,190
Calochortus albus,47,59,250,163
Calochortus eurycarpus,107,78,238,124
Calochortus invenustus,91,70,222,161
Calochortus leichtlinii,117,67,220,146
Calochortus luteus,115,25,234,125
Calochortus minimus,78,40,235,125
Calochortus nudus,107,93,271,163
Calochortus superbus,111,68,272,146
Calochortus venustus,78,41,248,135
Calochortus vestae,68,103,226,173
Calopogon tuberosus var. tuberosus,123,64,240,184
Caltha leptosepala,86,50,243,156
Calycadenia mollis,116,55,241,175
Calycadenia oppositifolia,133,97,250,134
Calycanthus floridus,101,92,240,144
Calycanthus floridus var. floridus,93,66,259,137
Calycanthus floridus var. glaucus,96,57,272,150
Calycanthus occidentalis,125,70,238,170
Calypogeja muelleriana,96,87,236,154
Calypogeja muelleriana ssp. blomquistii,123,71,274,135
Calypogeja neesiana,119,75,272,159
Calypogeja peruviana,135,64,231,158
Calypogeja sphagnicola,109,101,218,139
Calypogeja sullivantii,84,41,270,156
Calypso bulbosa,89,82,280,138
Calypte anna,115,79,221,175
Calystegia malacophylla ssp. malacophylla,103,49,225,153
Calystegia sepium,89,53,218,112
Calystegia spithamaea,107,95,258,152
Camassia quamash,139,65,266,160
Camassia quamash ssp. breviflora,115,70,258,159
Camassia quamash ssp. quamash,120,114,236,142
Camelina microcarpa,106,76,259,150
Camelina sativa,100,116,221,144
Camissonia breviflora,83,37,230,144
Camissonia contorta,89,64,261,115
Camissonia lacustris,101,85,265,154
Camissonia luciae,84,58,224,107
Camissonia sierrae ssp. alticola,84,95,201,169
Camissonia sierrae ssp. sierrae,111,102,250,136
Camissonia subacaulis,103,113,269,149
Campanula aparinoides,113,75,248,156
Campanula divaricata,72,30,230,137
Campanula rapunculoides,80,83,251,155
Campanula rotundifolia,122,67,270,129
Campanulastrum americanum,95,35,251,158
Campostoma anomalum,94,60,256,167
Campostoma oligolepis,91,74,263,153
Campsis radicans,123,96,242,184
Campylium chrysophyllum,99,75,245,120
Campylium hispidulum,91,88,272,116
Campylium polygamum,62,89,250,132
Campylium radicale,63,60,265,151
Campylopus atrovirens,100,75,271,114
Campylopus pilifer,83,88,240,147
Campylopus tallulensis,104,84,258,153
Campylostelium saxicola,132,55,240,126
Canis latrans,85,68,206,99
Canis lupus,130,59,330,196
Canis rufus,30,13,60,34
Cannabis sativa,229,134,500,298
Caprimulgus carolinensis,103,95,291,150
Caprimulgus vociferus,80,60,252,169
Capsella bursa-pastoris,182,159,561,277
Capsella rubella,108,102,271,177
Caracara cheriway,60,82,280,180
Carassius auratus,146,44,253,153
Cardamine angustata,93,52,244,144
Cardamine breweri var. breweri,106,50,236,134
Cardamine bulbosa,65,64,248,186
Cardamine californica var. californica,117,85,247,155
Cardamine clematitis,108,26,193,126
Cardamine concatenata,107,62,245,141
Cardamine diphylla,111,70,216,119
Cardamine dissecta,83,100,232,157
Cardamine flagellifera,88,95,240,163
Cardamine hirsuta,107,99,237,173
Cardamine oligosperma,134,92,252,154
Cardamine oligosperma var. oligosperma,99,88,251,164
Cardamine pachystigma var. pachystigma,104,112,244,171
Cardamine parviflora var. arenicola,117,63,258,180
Cardamine pensylvanica,187,176,470,328
Cardamine rotundifolia,103,111,265,131
Cardaria chalapensis,71,47,262,184
Cardaria draba,62,61,267,169
Cardaria pubescens,81,67,254,135
Cardellina pusilla,74,62,240,162
Cardinalis cardinalis,102,49,244,190
Carduelis flammea,86,77,206,159
Carduelis pinus,113,66,212,157
Carduelis tristis,110,85,222,141
Carduus acanthoides,199,148,456,312
Carduus nutans,83,66,271,151
Carduus pycnocephalus,54,122,279,138
Carex,80,66,246,155
Carex abrupta,82,98,250,176
Carex abscondita,91,60,212,146
Carex aestivalis,115,81,224,189
Carex aggregata,114,78,279,194
Carex albicans,144,74,240,148
Carex albicans var. albicans,67,87,213,152
Carex albicans var. australis,131,71,222,136
Carex albicans var. emmonsii,69,47,259,139
Carex albolutescens,141,42,237,153
Carex albonigra,110,108,254,169
Carex albursina,90,87,227,175
Carex amphibola,81,75,250,141
Carex amphibola var. rigida,109,66,255,171
Carex amphibola var. turgida,91,74,252,159
Carex amplectens,82,49,253,147
Carex amplifolia,123,98,228,143
Carex angustata,76,69,221,167
Carex annectens,88,77,259,145
Carex appalachica,112,119,218,183
Carex aquatilis,91,86,248,135
Carex aquatilis var. aquatilis,99,91,266,173
Carex atherodes,96,67,240,142
Carex athrostachya,88,70,248,162
Carex atlantica,109,78,249,187
Carex atlantica ssp. atlantica,84,93,258,172
Carex atlantica ssp. capillacea,84,72,230,132
Carex aurea,70,95,245,152
Carex austrocaroliniana,109,109,225,163
Carex backii,99,58,282,135
Carex baileyi,90,70,247,156
Carex barrattii,103,55,247,116
Carex bebbii,102,57,247,160
Carex biltmoreana,100,79,251,103
Carex blanda,104,76,266,138
Carex bolanderi,119,91,244,152
Carex brainerdii,85,85,253,169
Carex brevior,111,107,240,182
Carex bromoides,139,75,251,137
Carex brunnescens,105,73,240,95
Carex brunnescens ssp. brunnescens,74,56,280,150
Carex brunnescens ssp. sphaerostachya,90,84,210,179
Carex buxbaumii,87,90,244,136
Carex canescens,90,42,258,122
Carex capillaris,96,84,246,145
Carex capitata,103,88,247,156
Carex caroliniana,110,63,293,143
Carex cephalophora,88,85,260,183
Carex cherokeensis,119,39,291,163
Carex communis,129,61,230,170
Carex communis var. amplisquama,81,89,224,163
Carex communis var. communis,105,34,263,157
Carex complanata,91,34,249,139
Carex concinna,74,80,236,173
Carex congdonii,70,82,206,155
Carex conjuncta,117,43,267,162
Carex corrugata,101,77,249,137
Carex crebriflora,99,79,263,181
Carex crinita var. crinita,71,80,261,176
Carex cristatella,96,46,218,170
Carex cumberlandensis,89,97,245,118
Carex cusickii,73,78,228,187
Carex davyi,88,67,201,149
Carex debilis,105,76,212,121
Carex debilis var. debilis,105,90,207,167
Carex debilis var. interjecta,116,100,239,129
Carex debilis var. pubera,103,99,232,174
Carex debilis var. rudgei,110,101,257,171
Carex densa,146,82,268,137
Carex diandra,71,77,222,130
Carex disperma,76,75,302,198
Carex douglasii,92,84,256,161
Carex eburnea,69,70,251,152
Carex echinata ssp. echinata,94,86,237,143
Carex elynoides,94,93,259,132
Carex festucacea,51,84,252,129
Carex feta,103,55,224,155
Carex filifolia,85,30,258,153
Carex filifolia var. erostrata,136,69,231,157
Carex fissuricola,121,69,232,146
Carex flaccosperma,84,101,229,165
Carex flava,92,107,243,179
Carex fracta,112,85,261,192
Carex frankii,132,63,254,146
Carex geyeri,107,78,281,142
Carex gracilescens,95,107,252,159
Carex gracillima,122,87,240,166
Carex granularis,85,89,282,134
Carex gravida var. lunelliana,84,52,266,162
Carex grayi,137,91,251,136
Carex grisea,90,62,218,157
Carex gynandra,99,114,261,162
Carex gynocrates,100,59,237,163
Carex hassei,106,108,248,181
Carex haydeniana,108,119,262,164
Carex helleri,123,75,276,153
Carex heteroneura var. epapillosa,108,95,265,175
Carex heteroneura var. heteroneura,130,62,238,185
Carex hirsutella,110,62,204,156
Carex hoodii,93,60,283,177
Carex illota,105,76,242,164
Carex incurviformis var. danaensis,107,81,278,153
Carex integra,110,87,258,134
Carex interior,101,86,248,153
Carex intumescens,138,80,282,170
Carex jamesii,123,117,231,158
Carex jonesii,100,116,240,144
Carex kraliana,101,78,227,153
Carex laeviculmis,107,90,238,170
Carex laevivaginata,80,66,263,161
Carex lanuginosa,73,54,275,167
Carex lasiocarpa,95,54,246,136
Carex laxiculmis,102,62,248,159
Carex laxiflora,79,86,252,130
Carex leavenworthii,90,48,244,152
Carex lemmonii,116,83,237,157
Carex lenticularis var. impressa,87,106,239,166
Carex lenticularis var. lipocarpa,112,113,236,156
Carex leporinella,103,71,283,146
Carex leptalea,206,148,516,315
Carex leptonervia,129,114,228,162
Carex limosa,97,91,234,153
Carex livida,108,90,259,130
Carex louisianica,83,37,265,147
Carex lucorum var. austrolucorum,108,32,251,167
Carex lucorum var. lucorum,83,61,226,171
Carex lupulina,68,67,240,144
Carex lurida,101,39,264,188
Carex luzulifolia,144,69,245,161
Carex luzulina var. ablata,97,71,235,135
Carex macloviana,72,112,260,143
Carex macrochaeta,104,93,243,148
Carex mariposana,85,86,249,175
Carex microglochin,113,92,235,163
Carex microptera,141,62,265,186
Carex misera,109,75,265,148
Carex muehlenbergii var. muehlenbergii,84,101,258,156
Carex multicaulis,121,104,264,158
Carex multicostata,120,58,244,175
Carex nebrascensis,74,97,226,145
Carex nervina,111,55,236,151
Carex neurophora,89,55,241,125
Carex nigricans,128,60,240,165
Carex nigromarginata,140,63,255,179
Carex normalis,101,88,244,153
Carex nudata,92,32,261,145
Carex obtusata,104,101,239,131
Carex oligocarpa,95,72,284,158
Carex oxylepis var. oxylepis,94,66,278,150
Carex pachystachya,73,109,228,165
Carex parryana var. parryana,78,53,250,164
Carex paysonis,109,83,272,172
Carex pedunculata,83,65,230,123
Carex pellita,80,33,260,179
Carex pensylvanica,94,83,230,145
Carex petasata,82,76,271,143
Carex phaeocephala,114,46,215,134
Carex plantaginea,82,102,261,158
Carex platylepis,100,86,201,158
Carex platyphylla,96,64,240,122
Carex praeceptorium,83,114,243,148
Carex praegracilis,107,74,239,174
Carex prasina,124,51,255,121
Carex praticola,111,23,257,135
Carex preslii,76,25,296,149
Carex projecta,98,62,250,112
Carex purpurifera,70,73,306,185
Carex pyrenaica,131,69,232,146
Carex radiata,104,88,268,151
Carex raynoldsii,94,104,268,164
Carex retroflexa,52,114,235,140
Carex rosea,99,71,246,128
Carex rossii,102,42,262,162
Carex rupestris,85,67,275,128
Carex ruthii,92,88,257,160
Carex sartwelliana,81,59,263,145
Carex sartwellii,103,68,261,144
Carex scabrata,102,39,222,118
Carex scoparia,86,60,268,164
Carex scopulorum,123,89,272,140
Carex scopulorum var. bracteosa,122,93,254,161
Carex senta,114,92,216,143
Carex simulata,137,102,260,136
Carex sparganioides,68,96,278,113
Carex specifica,78,69,275,155
Carex spectabilis,64,86,237,126
Carex squarrosa,107,64,299,124
Carex stenoptila,112,53,251,137
Carex stipata,101,56,233,161
Carex stipata var. stipata,96,60,270,174
Carex straminiformis,88,100,268,115
Carex striatula,109,42,234,156
Carex stricta,110,71,281,209
Carex styloflexa,111,87,274,156
Carex subfusca,110,59,290,146
Carex subnigricans,117,69,237,159
Carex swanii,98,64,302,139
Carex tahoensis,124,95,285,149
Carex texensis,75,60,221,171
Carex tiogana,87,89,248,212
Carex tompkinsii,126,73,240,149
Carex tonsa var. rugosperma,100,78,233,161
Carex torta,92,92,258,139
Carex tribuloides,99,41,260,141
Carex trichocarpa,107,105,206,113
Carex trisperma,104,90,244,120
Carex umbellata,109,63,256,173
Carex utriculata,87,49,237,176
Carex vallicola,81,61,261,148
Carex vernacula,112,64,207,145
Carex vesicaria var. vesicaria,118,43,236,151
Carex virescens,115,95,244,152
Carex viridula,85,89,222,144
Carex vulpinoidea,91,75,264,122
Carex whitneyi,93,108,276,124
Carex willdenowii,65,72,241,131
Carphophis,89,99,256,159
Carphophis amoenus amoenus,104,83,246,123
Carphophis amoenus helenae,111,79,214,166
Carpinus caroliniana,94,74,224,132
Carpodacus cassinii,90,81,282,138
Carpodacus mexicanus,113,103,240,137
Carpodacus purpureus,119,64,252,141
Carum carvi,157,111,500,248
Carya alba,107,75,237,122
Carya carolinae-septentrionalis,86,55,259,135
Carya cordiformis,88,91,282,123
Carya glabra,106,78,275,134
Carya illinoinensis,118,81,263,127
Carya laciniosa,83,107,221,137
Carya ovalis,116,83,223,138
Carya ovata,93,84,269,155
Carya pallida,104,58,257,128
Cassiope mertensiana,80,74,247,126
Castanea dentata,105,66,260,141
Castanea mollissima,82,52,222,155
Castanea pumila,70,42,238,136
Castilleja applegatei,114,79,208,206
Castilleja applegatei ssp. disticha,85,87,257,176
Castilleja applegatei ssp. pallida,84,64,270,145
Castilleja applegatei ssp. pinetorum,88,39,280,136
Castilleja attenuata,93,77,234,152
Castilleja coccinea,111,81,269,156
Castilleja crista-galli,78,84,266,169
Castilleja cusickii,135,135,270,135
Castilleja densiflora ssp. densiflora,63,59,222,171
Castilleja exserta ssp. exserta,82,75,236,139
Castilleja foliolosa,87,45,277,132
Castilleja lacera,109,59,230,180
Castilleja lemmonii,118,80,219,171
Castilleja linariifolia,120,72,236,129
Castilleja miniata,88,97,317,153
Castilleja miniata ssp. miniata,86,77,268,117
Castilleja minor ssp. spiralis,103,93,275,154
Castilleja nana,103,73,220,121
Castilleja pallescens,78,74,273,214
Castilleja parviflora,141,93,255,136
Castilleja pilosa,104,76,261,119
Castilleja pilosa var. longispica,97,86,268,161
Castilleja pulchella,110,33,247,151
Castilleja rhexiifolia,101,99,251,137
Castilleja sulphurea,89,60,253,132
Castilleja tenuis,132,48,234,190
Castor canadensis,278,243,703,501
Catabrosa aquatica,95,88,267,120
Catalpa bignonioides,118,85,249,200
Catalpa speciosa,128,88,259,145
Cathartes aura,49,47,237,115
Catharus fuscescens,119,47,200,170
Catharus guttatus,93,62,267,109
Catharus minimus,125,47,271,128
Catharus ustulatus,85,61,246,137
Catherpes mexicanus,75,33,229,163
Catoptrophorus semipalmatus,124,77,230,163
Catostomus ardens,115,72,254,165
Catostomus catostomus,59,62,260,151
Catostomus commersoni,84,53,262,134
Catostomus occidentalis,99,58,275,180
Catostomus platyrhynchus,91,82,259,143
Caulophyllum thalictroides,43,130,256,150
Ceanothus americanus,112,93,262,125
Ceanothus cordulatus,121,76,249,147
Ceanothus cuneatus var. cuneatus,107,47,234,131
Ceanothus diversifolius,61,93,258,160
Ceanothus fresnensis,97,80,255,140
Ceanothus integerrimus,88,55,266,164
Ceanothus leucodermis,130,43,276,129
Ceanothus parvifolius,114,74,228,177
Ceanothus velutinus var. velutinus,109,67,241,177
Celastrus orbiculatus,80,47,251,178
Celastrus scandens,121,103,249,143
Celtis laevigata,81,95,270,163
Celtis occidentalis,115,76,257,114
Celtis tenuifolia,109,76,243,192
Cemophora coccinea copei,121,66,250,144
Centaurea biebersteinii,96,60,279,134
Centaurea cyanus,192,102,539,318
Centaurea diffusa,108,104,278,141
Centaurea maculosa,77,59,267,143
Centaurea melitensis,78,62,236,146
Centaurea nigra,82,61,228,167
Centaurea pratensis,91,79,246,154
Centaurea repens,130,72,245,166
Centaurea solstitialis,105,87,227,133
Centaurium venustum,107,41,243,182
Centrocercus urophasianus,235,159,519,340
Centrosema virginianum,99,45,235,185
Cephalanthera austiniae,141,74,254,140
Cephalanthus occidentalis,99,92,267,180
Cephalozia bicuspidata,104,100,261,147
Cephalozia bicuspidata ssp. ambigua,116,74,262,156
Cephalozia bicuspidata ssp. lammersiana,114,117,246,148
Cephalozia catenulata,118,103,238,169
Cephalozia connivens,54,62,230,157
Cephalozia lunulifolia,113,66,254,144
Cerastium arvense,89,83,259,143
Cerastium brachypetalum,115,54,279,140
Cerastium fontanum,86,91,253,194
Cerastium fontanum ssp. vulgare,225,98,544,343
Cerastium glomeratum,219,120,489,280
Cerastium nutans var. nutans,71,99,246,157
Ceratodon purpureus,99,56,253,147
Ceratophyllum demersum,117,67,260,173
Cercis canadensis,112,72,239,128
Cercis occidentalis,147,73,249,155
Cercocarpus betuloides var. betuloides,79,93,269,146
Certhia americana,79,63,189,115
Certhia familiaris,158,69,228,157
Cervus elaphus,183,161,495,379
Ceryle alcyon,97,72,231,117
Ceryle torquata,86,73,223,134
Chaenactis alpigena,122,93,243,151
Chaenactis douglasii var. douglasii,143,76,291,131
Chaenactis glabriuscula var. glabriuscula,74,52,252,156
Chaenactis glabriuscula var. heterocarpha,88,95,268,179
Chaenactis glabriuscula var. megacephala,90,59,253,146
Chaenomeles speciosa,117,55,248,120
Chaerophyllum procumbens,65,55,270,158
Chaerophyllum tainturieri var. tainturieri,101,65,246,131
Chaetodipus californicus,130,92,232,145
Chaetura pelagica,107,62,256,133
Chaetura vauxi,80,53,233,111
Chamaea fasciata,118,92,241,142
Chamaebatia foliolosa,78,44,277,166
Chamaebatiaria millefolium,80,48,215,152
Chamaecrista fasciculata,85,92,208,153
Chamaecrista fasciculata var. fasciculata,139,88,262,137
Chamaecrista nictitans ssp. nictitans var. nictitans,119,91,234,107
Chamaelirium luteum,61,79,265,164
Chamaesyce glyptosperma,105,100,242,124
Chamaesyce maculata,82,111,272,152
Chamaesyce nutans,126,60,262,136
Chamaesyce serpyllifolia,91,52,249,131
Chamaesyce serpyllifolia ssp. serpyllifolia,106,91,245,139
Chamerion latifolium,79,71,258,151
Chamomilla suaveolens,101,53,283,171
Charadrius nivosus,58,57,282,154
Charadrius semipalmatus,107,59,281,141
Charadrius vociferus,84,100,254,161
Charina bottae,191,150,507,296
Chasmanthium latifolium,133,82,249,152
Chasmanthium laxum,100,64,273,132
Chasmanthium laxum ssp. sessiliflorum,51,89,243,151
Chasmanthium laxum var. laxum,94,88,234,140
Chasmanthium laxum var. sessiliflorum,110,106,246,176
Chasmanthium sessiliflorum,112,70,257,155
Chasmistes liorus,23,23,65,35
Cheilanthes alabamensis,113,50,276,147
Cheilanthes covillei,84,56,249,163
Cheilanthes feei,132,63,260,153
Cheilanthes gracillima,116,83,235,167
Cheilanthes intertexta,112,92,271,124
Cheilanthes lanosa,135,45,254,181
